NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
CDC25B	1182.16359307152	1331.75124110744	1406.47885614181	829.412431374517	890.40571048335	848.285672278992
TMEM66	2136.48522981646	1869.74894571889	1990.73969127055	2912.71773038256	2690.62340975546	2885.81161715906
RPL3	23414.4961265942	22031.4198482273	22321.3966197192	17534.9517057259	17198.5287617207	17830.4024319637
ATG16L2	307.213129637069	389.841413649225	418.197096894576	166.627188794656	196.345874619405	181.608120446469
PTPRK	1235.38896811502	1143.03820010526	1282.9436362359	1855.2401523338	1691.77084991836	1755.15460921813
CDK5RAP3	1587.42346620978	1501.42744025413	1541.15249751464	1043.5144058034	1099.30858871214	1094.33538385163
NID2	12662.0365892968	13859.6485595675	13647.6040482932	16896.369295038	18975.9155453394	18467.7883514661
DAB2	11146.5140683213	10401.5648520803	11412.83166852	14613.8560719961	14167.7247087293	14448.9763957797
NPIPB5	997.275448183555	934.460628471284	925.501565524558	606.932553598412	631.274817817041	639.729250088853
HPS5	775.036162914186	749.058342574413	817.155102164462	1222.24301054404	1126.70568749624	1140.03033028655
KIAA1199	30963.1615976765	31910.7130824463	32245.73014675	39444.099836849	40952.9549533207	40672.0173229567
LAMC2	1794.72229532659	1635.51302201883	1768.98384570175	2431.45372699241	2436.05870021983	2351.53224345848
H2AFX	1509.91984991836	1899.54574166661	1580.64326453374	871.301948110604	1133.55496219226	1025.20713155265
ATP8B1	6615.82074005664	6635.58091980008	6690.14096654349	8672.06084251964	8373.2383158915	8634.00154561311
TM9SF2	2351.25428700954	2103.98486941896	2303.62807611419	3233.8706920259	2987.4253132499	3190.44459339184
OXTR	7082.70999482422	7651.15504835124	7363.50917340764	9420.48687487106	9777.33962857678	9690.84364008224
CHD1L	21.4769057193088	20.692219408133	20.2516753944105	73.5393738255745	85.6159337003221	101.934880508663
DNAJB4	2990.89256604113	3189.91254395778	3050.91489816794	4573.40434943098	4066.18607787396	4096.14186503778
ASF1B	208.232607626342	208.57757163398	244.032688502646	96.8113275678449	100.456028875045	92.5615581630391
RECQL4	589.214239516689	603.385117941157	513.379971248305	286.710470104771	357.303829976011	325.722951510441
MXRA7	6974.39168771814	7515.41408903389	7273.38921790252	9722.09139537088	9739.66861774864	9181.16923753892
IL6ST	8223.78733347619	8003.75046706583	8193.82786457847	11434.907190802	10321.8569669108	10539.1293123612
